Sample,Solvent,Final [ ],GC-O no of beads used,GC-O incubation and extraction temperature,GC-O incubation time,GC-O extraction time,GC-O result,"GC-O contaminant, if identified",Impact on GNN performance,Disqualification reason,Selection reason,Sulfur,Amine,Phenyl,Nitrile,Ester,Carbonyl,Carboxylic.Acid,Alkyl.4.carbon.chain,8.atoms.or.fewer,13.atoms.or.more
131,PG,0.1,10.0,55.0,10.0,10.0,inconclusive,,unknown,,rf|cooling|prediction threshold=0.038,False,True,False,False,False,False,False,False,False,False
132,PG,0.001,,,,,,,,,gnn|earthy|prediction threshold=0.430,False,False,False,False,False,False,False,False,True,False
133,PG,0.01,10.0,45.0,10.0,10.0,mixed,C1=CSC(=C1)C=O,neutral,Confirmed garlic impurity,gnn|tropical|prediction threshold=0.319,False,False,False,False,True,True,False,False,False,False
134,PG,0.4,10.0,45.0,10.0,10.0,mixed,C1CCC2(CC1)OCCO2,bad,,gnn|grassy|prediction threshold=0.400,False,False,False,False,False,False,False,True,False,False
135,PG,0.25,,,,,,,,,rf|not pine|prediction threshold=0.030,False,False,True,False,False,True,False,True,False,True
136,PG,0.01,,,,,,,,,gnn|medicinal|prediction threshold=0.400,False,False,True,False,False,False,False,False,False,False
137,neat,1.0,,,,,,,,,gnn|coconut|prediction threshold=0.400,False,False,False,False,True,False,False,False,False,False
138,PG,0.3,,,,,,,,Low intensity,gnn|fatty|prediction threshold=0.400,False,True,False,False,False,False,False,True,False,True
139,PG,0.07,,,,,,,,,gnn|peach|prediction threshold=0.183,False,False,False,False,False,True,False,True,False,True
140,,1.0,,,,,,,,,gnn|dairy|prediction threshold=0.194,False,False,False,False,False,False,True,True,False,False
141,,1.0,,,,,,,,,gnn|citrus|prediction threshold=0.162,False,False,False,False,False,False,False,False,False,True
142,PG,0.1,,,,,,,,,gnn|buttery|prediction threshold=0.223,False,False,False,False,True,False,False,False,False,False
143,PG,0.1,8.0,45.0,10.0,10.0,clean,,neutral,,rf|not mint|prediction threshold=0.136,False,False,False,False,False,False,False,False,True,False
144,PG,0.01,,,,,,,,,rf|not jasmin|prediction threshold=0.036,False,False,False,False,True,False,False,True,False,False
145,,1.0,,,,,,,,,rf|winey|prediction threshold=0.146,False,False,False,True,False,False,False,False,False,False
146,PG,0.001,,,,,,,,,rf|not woody|prediction threshold=0.687,True,False,True,False,False,False,False,False,False,False
147,PG,0.01,,,,,,,,,rf|dairy|prediction threshold=0.042,True,False,False,True,False,False,False,False,True,False
148,,1.0,,,,,,,,,rf|ozone|prediction threshold=0.012,False,False,True,False,False,False,False,False,False,False
149,PG,0.3,,,,,,,,,gnn|not medicinal|prediction threshold=0.400,False,False,True,False,False,True,False,False,False,True
150,PG,0.1,,,,,,,,,rf|not green|prediction threshold=0.850,False,False,False,False,False,False,True,False,False,False
151,PG,0.1,,,,,,,,,gnn|honey|prediction threshold=0.400,False,False,True,False,False,False,True,False,False,False
152,PG,0.1,10.0,45.0,10.0,10.0,mixed,CNC,good,Confirmed dimethylamine impurity,gnn|not sulfurous|prediction threshold=0.400,False,True,False,False,True,False,False,False,False,False
153,,1.0,,,,,,,,,rf|vanilla|prediction threshold=0.082,False,True,True,False,False,False,False,False,False,False
154,,1.0,,,,,,,,,gnn|meaty|prediction threshold=0.512,True,True,False,True,False,False,False,False,True,False
155,,1.0,,,,,,,,,rf|woody|prediction threshold=0.192,False,False,False,False,False,False,False,False,False,False
156,,1.0,,,,,,,,,rf|not citrus|prediction threshold=0.212,False,False,True,False,True,False,False,False,False,True
157,PG,0.1,,,,,,,,,gnn|hay|prediction threshold=0.513,False,False,True,False,False,True,False,False,False,False
158,PG,0.1,,,,,,,,,rf|citrus|prediction threshold=0.072,False,True,False,False,False,False,False,True,False,False
159,PG,0.1,,,,,,,,,gnn|tropical|prediction threshold=0.319,False,False,False,True,True,False,False,False,False,False
160,,1.0,,,,,,,,,rf|buttery|prediction threshold=0.062,False,False,True,False,True,False,False,False,False,True
161,PG,0.01,,,,,,,,,rf|herbal|prediction threshold=0.117,False,False,False,False,False,True,False,False,False,False
162,PG,0.05,10.0,45.0,10.0,10.0,mixed,CC1COC2(O1)CCCCC2,neutral,,rf|not waxy|prediction threshold=0.625,False,False,False,False,True,False,False,True,False,False
163,PG,0.1,,,,,,,,,gnn|green|prediction threshold=0.400,False,False,True,False,False,False,False,False,False,False
164,neat,1.0,,,,,,,,Low intensity,gnn|earthy|prediction threshold=0.400,False,False,False,False,False,False,False,False,True,False
165,,1.0,,,,,,,,,gnn|nutty|prediction threshold=0.644,False,False,False,True,False,False,False,False,False,False
166,neat,1.0,,,,,,,,Low intensity,gnn|tomato|prediction threshold=0.400,False,True,False,False,False,False,False,False,True,False
167,,1.0,,,,,,,,,rf|berry|prediction threshold=0.060,False,True,False,False,False,False,False,True,False,True
168,neat,1.0,,,,,,,,Low intensity,gnn|citrus|prediction threshold=0.400,False,True,False,True,False,False,False,False,False,True
169,PG,0.01,,,,,,,,,rf|not sour|prediction threshold=0.046,False,False,False,False,False,True,False,False,False,False
170,PG,0.01,,,,,,,,Suspected morpholine impurity,rf|cheesy|prediction threshold=0.086,False,True,False,False,False,False,False,False,False,False
171,PG,0.2,,,,,,,,,gnn|smoky|prediction threshold=0.419,False,True,True,False,False,False,False,False,False,False
172,,1.0,,,,,,,,,rf|musty|prediction threshold=0.118,False,True,False,False,False,False,False,False,False,False
173,,1.0,,,,,,,,,gnn|musk|prediction threshold=0.099,False,False,False,False,False,True,False,False,False,True
174,PG,0.2,,,,,,,,,gnn|tomato|prediction threshold=0.131,False,True,False,True,False,False,False,False,True,False
175,PG,0.3,,,,,,,,,gnn|not winey|prediction threshold=0.400,False,True,False,False,False,False,False,False,True,False
176,neat,1.0,,,,,,,,,gnn|nutty|prediction threshold=0.400,False,False,False,False,False,False,False,False,True,False
177,,1.0,10.0,45.0,10.0,10.0,mixed,CC(=O)O,neutral,Confirmed acetic acid impurity,gnn|sweet|prediction threshold=0.378,False,False,False,False,True,True,False,False,False,False
178,PG,0.15,,,,,,,,,rf|rummy|prediction threshold=0.076,False,True,False,False,False,False,False,False,False,True
179,PG,0.5,,,,,,,,,gnn|tropical|prediction threshold=0.400,False,False,False,True,True,False,False,False,False,False
180,PG,0.5,,,,,,,,,gnn|rummy|prediction threshold=0.252,False,False,False,False,True,False,False,False,False,False
181,neat,1.0,,,,,,,,,gnn|green|prediction threshold=0.400,False,False,False,True,False,False,False,False,False,False
182,,1.0,,,,,,,,,rf|not meaty|prediction threshold=0.204,False,True,False,False,False,False,False,False,True,False
183,PG,0.2,,,,,,,,,rf|cucumber|prediction threshold=0.014,False,True,False,False,False,False,False,False,False,False
184,,1.0,,,,,,,,,gnn|woody|prediction threshold=0.753,False,False,False,False,False,True,False,False,False,False
185,,1.0,,,,,,,,Low intensity,gnn|fatty|prediction threshold=0.174,False,True,True,False,False,False,False,False,False,False
186,,1.0,,,,,,,,,rf|woody|prediction threshold=0.192,False,True,False,False,False,False,False,False,False,False
187,PG,0.1,10.0,45.0,10.0,10.0,mixed,CC2(C1CC1)OCC(O2)C,neutral,,gnn|sweet|prediction threshold=0.378,False,False,False,False,False,True,False,False,True,False
188,PG,0.015,,,,,,,,,gnn|vanilla|prediction threshold=0.400,False,False,True,False,False,True,False,False,False,False
189,,1.0,,,,,,,,,rf|woody|prediction threshold=0.192,False,True,False,False,False,False,False,False,True,False
190,,1.0,,,,,,,,,rf|honey|prediction threshold=0.080,False,False,False,False,False,False,True,False,False,False
191,neat,1.0,,,,,,,,,gnn|not sharp|prediction threshold=0.400,False,False,True,True,False,False,False,False,False,False
192,PG,0.2,,,,,,,,,rf|waxy|prediction threshold=0.054,False,True,False,False,False,False,False,True,False,False
193,,1.0,,,,,,,,,gnn|coconut|prediction threshold=0.170,False,False,False,False,False,True,False,False,True,False
194,PG,0.3,10.0,55.0,10.0,10.0,mixed,,neutral,,rf|tomato|prediction threshold=0.048,False,False,False,False,False,False,False,False,True,False
195,,1.0,,,,,,,,,rf|metallic|prediction threshold=0.052,False,True,True,False,False,False,False,False,False,True
196,,1.0,,,,,,,,,rf|caramellic|prediction threshold=0.170,False,False,False,False,False,False,False,False,False,False
197,neat,1.0,,,,,,,,,gnn|floral|prediction threshold=0.400,False,False,False,False,False,False,False,False,False,False
198,PG,0.5,,,,,,,,Suspected garlicky impurity,gnn|nutty|prediction threshold=0.644,False,True,False,False,False,False,False,False,False,False
199,,1.0,,,,,,,,,gnn|herbal|prediction threshold=0.256,False,False,False,False,False,False,False,False,False,False
200,PG,0.1,,,,,,,,,rf|not sulfurous|prediction threshold=0.283,False,False,False,False,False,True,False,False,False,False
201,neat,1.0,,,,,,,,,gnn|sweet|prediction threshold=0.400,False,False,True,False,False,True,False,False,False,False
202,PG,0.1,,,,,,,,,gnn|not cooling|prediction threshold=0.400,False,False,False,False,True,False,False,False,False,True
203,neat,1.0,,,,,,,,Low intensity,gnn|fruity|prediction threshold=0.400,False,True,False,False,False,False,False,False,False,True
204,PG,0.1,,,,,,,,,gnn|not ozone|prediction threshold=0.400,False,False,False,False,False,False,False,True,False,False
205,neat,1.0,,,,,,,,Low intensity,gnn|caramellic|prediction threshold=0.400,False,False,True,False,False,False,False,False,False,True
206,PG,0.1,,,,,,,,,rf|not coffee|prediction threshold=0.074,False,False,True,False,False,True,False,False,False,False
207,PG,0.1,,,,,,,,,gnn|vanilla|prediction threshold=0.400,False,False,True,False,False,False,False,False,False,False
208,,1.0,,,,,,,,Low intensity,rf|coconut|prediction threshold=0.032,False,True,True,False,False,False,False,False,False,False
209,PG,0.1,,,,,,,,,gnn|not cheesy|prediction threshold=0.400,False,False,False,False,True,True,False,False,False,False
210,PG,0.1,,,,,,,,,gnn|powdery|prediction threshold=0.400,False,False,True,False,False,False,False,False,False,False
211,,1.0,,,,,,,,,gnn|cheesy|prediction threshold=0.216,False,False,False,False,False,False,False,False,True,False
212,neat,1.0,,,,,,,,,gnn|not hay|prediction threshold=0.400,False,False,True,False,False,False,False,False,False,False
213,PG,0.01,,,,,,,,,gnn|green|prediction threshold=0.297,False,False,False,False,False,False,False,False,True,False
214,,1.0,,,,,,,,Suspected sulfurous impurity,rf|nutty|prediction threshold=0.298,False,False,False,False,False,False,True,False,True,False
215,PG,0.01,4.0,45.0,10.0,10.0,contaminated,CSCCCSC,good,Confirmed garlicky impurity,gnn|fruity|prediction threshold=0.400,False,False,False,False,True,False,False,False,False,False
216,,1.0,,,,,,,,,rf|not caramellic|prediction threshold=0.164,False,False,False,False,True,False,False,False,False,True
217,PG,0.01,10.0,55.0,10.0,10.0,contaminated,CSSSC,bad,Confirmed garlicky impurity,gnn|fatty|prediction threshold=0.174,True,True,True,False,False,False,False,False,False,False
218,PG,0.1,,,,,,,,,gnn|not mint|prediction threshold=0.400,False,True,True,False,False,False,False,False,False,False
219,,1.0,,,,,,,,Low intensity,gnn|caramellic|prediction threshold=0.568,False,False,False,False,True,True,False,False,False,True
220,neat,1.0,,,,,,,,,gnn|winey|prediction threshold=0.400,False,False,False,False,False,False,False,False,True,False
221,,1.0,,,,,,,,,rf|not cheesy|prediction threshold=0.060,False,False,False,False,True,True,False,False,False,False
222,PG,0.5,,,,,,,,,rf|mint|prediction threshold=0.136,False,False,False,False,False,False,False,False,False,True
223,,1.0,,,,,,,,,rf|cucumber|prediction threshold=0.010,False,False,True,False,False,False,False,False,False,False
